,SUBJECT,SNR,CHOICE,TALKER,RESULT
325,1,-6.0,natural,2,1
326,1,0.0,natural,1,1
327,1,0.0,natural,1,1
328,1,0.0,natural,1,1
329,1,0.0,natural,1,1
330,1,-9.0,natural,0,1
331,1,-9.0,natural,0,0
332,1,-9.0,natural,0,0
333,1,-9.0,natural,0,0
334,1,0.0,synthesized,3,0
335,1,0.0,synthesized,3,0
336,1,0.0,synthesized,3,1
337,1,0.0,synthesized,3,1
338,1,-6.0,synthesized,1,1
339,1,-6.0,synthesized,1,1
340,1,-6.0,synthesized,1,1
341,1,-6.0,synthesized,1,1
342,1,-6.0,audio-only,1,1
343,1,-6.0,audio-only,1,1
344,1,-6.0,audio-only,1,1
345,1,-3.0,synthesized,0,1
346,1,-3.0,synthesized,0,0
347,1,-3.0,synthesized,0,0
348,1,-3.0,synthesized,0,0
349,1,0.0,natural,3,0
350,1,0.0,natural,3,1
351,1,0.0,natural,3,1
352,1,0.0,natural,3,1
353,1,0.0,natural,3,0
354,1,-3.0,audio-only,3,1
355,1,-3.0,audio-only,3,1
356,1,-3.0,audio-only,3,0
357,1,-3.0,audio-only,3,0
358,1,0.0,audio-only,0,0
359,1,0.0,audio-only,0,1
360,1,0.0,audio-only,0,1
361,1,0.0,audio-only,0,1
362,1,-3.0,natural,3,0
363,1,-3.0,natural,3,0
364,1,-3.0,natural,3,0
365,1,-9.0,synthesized,1,1
366,1,-9.0,synthesized,1,1
367,1,-9.0,synthesized,1,0
368,1,-9.0,synthesized,1,0
369,1,-9.0,synthesized,1,0
370,1,-6.0,natural,0,1
371,1,-6.0,natural,0,1
372,1,-6.0,natural,0,1
373,1,-6.0,natural,0,1
374,1,-9.0,audio-only,3,1
375,1,-9.0,audio-only,3,0
376,1,-9.0,audio-only,3,0
377,1,-3.0,natural,2,1
378,1,-3.0,natural,2,1
379,1,-3.0,natural,2,0
380,1,-3.0,natural,2,0
381,1,-9.0,synthesized,1,0
382,1,-9.0,synthesized,1,0
383,1,-9.0,synthesized,1,0
384,1,-9.0,synthesized,1,0
385,1,-9.0,synthesized,1,0
386,1,0.0,natural,2,1
387,1,0.0,natural,2,1
388,1,0.0,natural,2,1
389,1,0.0,natural,2,1
390,1,-9.0,audio-only,0,0
391,1,-9.0,audio-only,0,0
392,1,-9.0,audio-only,0,0
393,1,-9.0,audio-only,0,0
394,1,-3.0,audio-only,3,0
395,1,-3.0,audio-only,3,0
396,1,-3.0,audio-only,3,1
397,1,-3.0,audio-only,3,0
398,1,-3.0,audio-only,3,0
399,1,-6.0,synthesized,0,0
400,1,-6.0,synthesized,0,1
401,1,-6.0,synthesized,0,1
402,1,-6.0,synthesized,0,1
403,1,-9.0,natural,2,1
404,1,-9.0,natural,2,0
405,1,-9.0,natural,2,0
406,1,-6.0,audio-only,1,0
407,1,-6.0,audio-only,1,1
408,1,-6.0,audio-only,1,1
409,1,-6.0,audio-only,1,0
410,1,-3.0,synthesized,2,1
411,1,-3.0,synthesized,2,0
412,1,-3.0,synthesized,2,1
413,1,-3.0,synthesized,2,1
414,1,0.0,audio-only,1,1
415,1,0.0,audio-only,1,1
416,1,0.0,audio-only,1,1
417,1,0.0,synthesized,1,0
418,1,0.0,synthesized,1,1
419,1,0.0,synthesized,1,0
420,1,0.0,synthesized,1,0
421,1,-6.0,natural,2,1
422,1,-6.0,natural,2,0
423,1,-6.0,natural,2,0
424,1,-6.0,natural,2,0
425,1,-3.0,natural,3,1
426,1,-3.0,natural,3,1
427,1,-3.0,natural,3,1
428,1,-3.0,natural,3,1
429,1,-3.0,audio-only,1,1
430,1,-3.0,audio-only,1,1
431,1,-3.0,audio-only,1,1
432,1,-6.0,natural,3,0
433,1,-6.0,natural,3,0
434,1,-6.0,natural,3,1
435,1,-6.0,natural,3,0
436,1,0.0,audio-only,1,1
437,1,0.0,audio-only,1,1
438,1,0.0,audio-only,1,1
439,1,0.0,audio-only,1,1
440,1,-9.0,natural,2,1
441,1,-9.0,natural,2,0
442,1,-9.0,natural,2,0
