,SUBJECT,SNR,CHOICE,TALKER,RESULT
290,7,-9,natural,1,0
291,7,-9,natural,1,0
292,7,-9,natural,1,1
293,7,-6,synthesized,3,0
294,7,-6,synthesized,3,0
295,7,-6,synthesized,3,0
296,7,-6,synthesized,3,1
297,7,0,audio-only,2,1
298,7,0,audio-only,2,1
299,7,0,audio-only,2,1
300,7,0,audio-only,2,1
301,7,-6,natural,3,1
302,7,-6,natural,3,1
303,7,-6,natural,3,0
304,7,-6,natural,3,1
305,7,0,natural,2,1
306,7,0,natural,2,1
307,7,0,natural,2,1
308,7,0,natural,2,1
309,7,0,natural,2,1
310,7,-3,synthesized,2,1
311,7,-3,synthesized,2,1
312,7,-3,synthesized,2,1
313,7,0,synthesized,1,1
314,7,0,synthesized,1,1
315,7,0,synthesized,1,1
316,7,0,synthesized,1,1
317,7,-6,audio-only,0,0
318,7,-6,audio-only,0,0
319,7,-6,audio-only,0,0
320,7,-6,audio-only,0,0
321,7,-9,audio-only,1,0
322,7,-9,audio-only,1,0
323,7,-9,audio-only,1,0
324,7,-9,audio-only,1,0
325,7,-9,audio-only,1,0
326,7,-3,natural,1,1
327,7,-3,natural,1,1
328,7,-3,natural,1,1
329,7,-3,natural,1,1
330,7,-9,synthesized,3,0
331,7,-9,synthesized,3,0
332,7,-9,synthesized,3,0
333,7,-9,synthesized,3,0
334,7,-3,audio-only,3,1
335,7,-3,audio-only,3,1
336,7,-3,audio-only,3,1
337,7,-3,audio-only,3,1
338,7,-3,audio-only,3,1
339,7,-9,audio-only,3,0
340,7,-9,audio-only,3,0
341,7,-9,audio-only,3,0
342,7,-9,audio-only,3,0
343,7,-9,audio-only,3,0
344,7,-9,synthesized,3,1
345,7,-9,synthesized,3,1
346,7,-9,synthesized,3,0
347,7,-9,synthesized,3,0
348,7,-6,audio-only,0,1
349,7,-6,audio-only,0,1
350,7,-6,audio-only,0,1
351,7,-6,audio-only,0,1
352,7,-3,synthesized,0,1
353,7,-3,synthesized,0,1
354,7,-3,synthesized,0,1
355,7,-3,synthesized,0,1
356,7,-3,natural,2,1
357,7,-3,natural,2,1
358,7,-3,natural,2,1
359,7,0,synthesized,2,0
360,7,0,synthesized,2,0
361,7,0,synthesized,2,0
362,7,-6,natural,2,1
363,7,-6,natural,2,1
364,7,-6,natural,2,1
365,7,-6,natural,2,1
366,7,-6,natural,2,1
367,7,-9,natural,0,1
368,7,-9,natural,0,1
369,7,-9,natural,0,0
370,7,-9,natural,0,0
371,7,0,audio-only,0,1
372,7,0,audio-only,0,1
373,7,0,audio-only,0,1
374,7,0,natural,2,1
375,7,0,natural,2,1
376,7,0,natural,2,1
377,7,-6,synthesized,1,1
378,7,-6,synthesized,1,1
379,7,-6,synthesized,1,1
380,7,-3,synthesized,3,0
381,7,-3,synthesized,3,0
